ANALYTE,R+1,R+45,R+82,R+194
ABSOLUTE LYMPHOCYTES,-26.825981379312275,-7.614963897660182,-10.195808028206354,-6.869513180971518
MPV,-22.805018573359412,-21.901372013964604,-21.144606557471114,-22.670030286284675
WHITE BLOOD CELL COUNT,-14.565596063631357,-13.307335149984468,-11.673385487954773,-9.797975446786507
ABSOLUTE EOSINOPHILS,-13.58680549016958,-19.724069058713347,-20.779502405957736,7.835218116767599
ABSOLUTE BASOPHILS,-11.01489657930401,13.797998237441773,-6.2675978108730614,-13.660474261465886
RDW,-9.686579844028241,-10.123511817921116,-10.204955266773217,-8.174424406395717
ABSOLUTE NEUTROPHILS,-5.051521788320296,-14.599986379138333,-10.143292793366331,-10.297193494506773
MCV,-3.9488900066049095,-2.6422925208790424,-2.7857356724507554,-4.634706832541821
LYMPHOCYTES,-3.2530968995807514,18.195543445000396,16.79004660779028,13.683813948543783
MCH,-3.2131864820311224,-2.321039789063499,-1.9061390690442022,-2.900922089384553
ABSOLUTE MONOCYTES,-3.018819808335981,-7.727694733465708,-9.072911572948842,0.4429673084907586
HEMATOCRIT,-2.591208713743906,0.30055447169621635,-0.26127092275402264,-2.6133349658521676
HEMOGLOBIN,-1.3567941593113293,0.7149502330291528,0.7557099669552263,-1.4585908470016364
NEUTROPHILS,0.49038492694716274,-12.796265410662208,-9.406645883217829,-10.489485902391092
RED BLOOD CELL COUNT,1.488328798160545,3.0664077307493782,2.498974311132583,1.4848861741449082
MCHC,1.6402539386086261,1.4518391820064256,2.0228439150994695,2.1506057333098307
BASOPHILS,8.071890394088674,44.36037561576356,23.126539408867,11.844211822660107
PLATELET COUNT,10.510214215697863,18.4809664861125,7.2411167494438065,-8.189491698760035
EOSINOPHILS,21.520864910627722,9.410631136236393,12.01823290046837,51.23689115562655
MONOCYTES,25.516417467874888,16.06526575452998,15.497944836158268,24.42287932940437
HEMATOCRIT (FEMALE),,,,
HEMOGLOBIN (FEMALE),,,,
RED BLOOD CELL COUNT (FEMALE),,,,
