record_id,system,measure,body_site_or_context,mission_duration_category,duration_days_approx,metric_type,value,value_low,value_high,unit,measurement_method,source_citation,source_url
B001,Bone,Bone mineral density change,Femoral neck,Long,180,percent_change_per_month,-1.0,,,%/month,DXA,"NASA HHP Bone and Mineral Lab review",https://www.nasa.gov/directorates/esdmd/hhp/bone-and-mineral-evaluation-and-analysis/
B002,Bone,Bone mineral density change,Proximal femur (hip),Long,180,percent_change_per_month,-1.25,-1.0,-1.5,%/month,DXA,"NASA HHP Bone and Mineral Lab review",https://www.nasa.gov/directorates/esdmd/hhp/bone-and-mineral-evaluation-and-analysis/
B003,Bone,Bone mineral density change,Lumbar spine,Long,180,percent_change_per_month,-1.3,-1.0,-1.6,%/month,DXA,"NASA HHP Bone and Mineral Lab review",https://www.nasa.gov/directorates/esdmd/hhp/bone-and-mineral-evaluation-and-analysis/
B004,Bone,Total bone density change (region),Skull,Long,180,percent_change_total,2.2,1.1,3.3,%,DXA/CT meta-analysis,"Systematic review & meta-analysis of bone loss in space travelers",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7200725
B005,Bone,Total bone density change (region),Thorax and upper limbs,Long,180,percent_change_total,-1.4,-2.1,-0.6,%,DXA/CT meta-analysis,"Systematic review & meta-analysis of bone loss in space travelers",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7200725
B006,Bone,Total bone density change (region),Lumbar spine and pelvis,Long,180,percent_change_total,-6.2,-6.7,-5.6,%,DXA/CT meta-analysis,"Systematic review & meta-analysis of bone loss in space travelers",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7200725
B007,Bone,Total bone density change (region),Lower limbs,Long,180,percent_change_total,-4.9,-5.6,-4.2,%,DXA/CT meta-analysis,"Systematic review & meta-analysis of bone loss in space travelers",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7200725
B008,Bone,Bone strength / volumetric BMD change,Distal tibia,Mixed,,percent_change_total,-3.6,-2.9,-4.3,%,pQCT,"Pre-flight exercise and bone metabolism predict unloading-induced bone loss",https://pmc.ncbi.nlm.nih.gov/articles/PMC8862023
B009,Bone,BMD recovery at 1 year post-flight (hip),Hip,Long,180,percent_recovered_astronauts,34.0,,,% of astronauts back to baseline,DXA,"Bone Health in Space Flight (LSAH cohort n=94)",https://pmc.ncbi.nlm.nih.gov/articles/PMC12626757
B010,Bone,BMD recovery at 1 year post-flight (spine),Spine,Long,180,percent_recovered_astronauts,46.8,,,% of astronauts back to baseline,DXA,"Bone Health in Space Flight (LSAH cohort n=94)",https://pmc.ncbi.nlm.nih.gov/articles/PMC12626757
M001,Muscle,Muscle volume change,Soleus-gastrocnemius (calf),Short,8,percent_change_total,-6.3,,,%,MRI,"LeBlanc et al. 1995 (STS-47)",https://pubmed.ncbi.nlm.nih.gov/8747608
M002,Muscle,Muscle volume change,Anterior calf,Short,8,percent_change_total,-3.9,,,%,MRI,"LeBlanc et al. 1995 (STS-47)",https://pubmed.ncbi.nlm.nih.gov/8747608
M003,Muscle,Muscle volume change,Hamstrings,Short,8,percent_change_total,-8.3,,,%,MRI,"LeBlanc et al. 1995 (STS-47)",https://pubmed.ncbi.nlm.nih.gov/8747608
M004,Muscle,Muscle volume change,Quadriceps,Short,8,percent_change_total,-6.0,,,%,MRI,"LeBlanc et al. 1995 (STS-47)",https://pubmed.ncbi.nlm.nih.gov/8747608
M005,Muscle,Muscle volume change,Intrinsic back muscles,Short,8,percent_change_total,-10.3,,,%,MRI,"LeBlanc et al. 1995 (STS-47)",https://pubmed.ncbi.nlm.nih.gov/8747608
M006,Muscle,Muscle volume change,Quadriceps,Long,180,percent_change_total,-12.0,,,%,MRI,"Update on effects of microgravity on musculoskeletal system (review)",https://www.nature.com/articles/s41526-021-00158-4
M007,Muscle,Muscle volume change,Soleus-gastrocnemius (calf),Long,180,percent_change_total,-13.0,,,%,MRI,"Update on effects of microgravity on musculoskeletal system (review)",https://www.nature.com/articles/s41526-021-00158-4
M008,Muscle,Muscle volume change,Posterior back muscles,Long,180,percent_change_total,-20.0,,,%,MRI,"Update on effects of microgravity on musculoskeletal system (review)",https://www.nature.com/articles/s41526-021-00158-4
M009,Muscle,Calf twitch force change,Calf,Long,180,percent_change_total,-27.5,-25.0,-30.0,%,Force dynamometry,"Update on effects of microgravity on musculoskeletal system (review)",https://www.nature.com/articles/s41526-021-00158-4
M010,Muscle,Skeletal muscle mass change,Whole body (short flight),Short,10,percent_change_total,-20.0,,,%,Composite estimate,"Canadian Space Agency - What happens to muscles in space",https://www.asc-csa.gc.ca/eng/astronauts/space-medicine/muscles.asp
C001,Cardiovascular,Orthostatic intolerance incidence,Post-flight (pooled),Mixed,,incidence_percent,30.0,24.0,38.0,%,Meta-analysis (stand/tilt test),"Orthostatic intolerance in spaceflight: systematic review & meta-analysis",https://www.sciencedirect.com/science/article/pii/S0094576526003346
C002,Cardiovascular,Orthostatic intolerance incidence,Post-flight,Short,14,incidence_percent,25.0,20.0,30.0,%,Stand/tilt test,"Long-term spaceflight and the cardiovascular system",https://academic.oup.com/pcm/article/3/4/284/5858004
C003,Cardiovascular,Orthostatic intolerance incidence,Post-flight,Long,160,incidence_percent,83.0,,,%,Stand/tilt test,"Long-term spaceflight and the cardiovascular system",https://academic.oup.com/pcm/article/3/4/284/5858004
C004,Cardiovascular,Stroke volume change,Post-flight,Mixed,,mean_change_ml,-5.37,-11.16,0.41,mL,Meta-analysis (echocardiography),"Orthostatic intolerance in spaceflight: systematic review & meta-analysis",https://www.sciencedirect.com/science/article/pii/S0094576526003346
C005,Cardiovascular,Cardiac output change,Early in-flight,Mixed,,percent_change_total,29.5,18.0,41.0,%,Echocardiography (fluid shift phase),"The Cardiovascular System in Space (review)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8773383
C006,Cardiovascular,Stroke volume change,Early in-flight,Mixed,,percent_change_total,40.5,35.0,46.0,%,Echocardiography (fluid shift phase),"The Cardiovascular System in Space (review)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8773383
C007,Cardiovascular,Blood/plasma volume change,In-flight,Mixed,,percent_change_total,-12.5,-10.0,-15.0,%,Plasma volume measurement,"The Cardiovascular System in Space (review)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8773383
C008,Cardiovascular,Plasma volume change,Post-flight (pre-reentry),Long,160,percent_change_total,-13.5,-7.0,-20.0,%,Plasma volume measurement,"Long-term spaceflight and the cardiovascular system",https://academic.oup.com/pcm/article/3/4/284/5858004
S001,Sleep,Average sleep duration,In-flight,Short,10,mean_hours,5.96,,,hours/night,Actigraphy,"Barger et al. 2014 (64 Shuttle astronauts)",https://pmc.ncbi.nlm.nih.gov/articles/PMC10391686
S002,Sleep,Average sleep duration,Post-flight (first week),Short,10,mean_hours,6.74,,,hours/night,Actigraphy,"Barger et al. 2014 (64 Shuttle astronauts)",https://pmc.ncbi.nlm.nih.gov/articles/PMC10391686
S003,Sleep,Average sleep duration,In-flight,Long,180,mean_hours,6.09,,,hours/night,Actigraphy,"Barger et al. 2014 (21 ISS astronauts)",https://pmc.ncbi.nlm.nih.gov/articles/PMC10391686
S004,Sleep,Average sleep duration,Post-flight (first week),Long,180,mean_hours,6.95,,,hours/night,Actigraphy,"Barger et al. 2014 (21 ISS astronauts)",https://pmc.ncbi.nlm.nih.gov/articles/PMC10391686
S005,Sleep,Average sleep duration,Pre-flight baseline (ground),Mixed,,mean_hours,7.9,,,hours/night,Actigraphy,"Santy et al. 1988 (58 Shuttle astronauts)",https://pmc.ncbi.nlm.nih.gov/articles/PMC5975626
S006,Sleep,Scheduled vs actual sleep gap,In-flight (all missions),Mixed,,mean_hours,8.5,,,hours/night (scheduled),NASA schedule vs actigraphy,"Barger et al. 2014 summary",https://www.medicalnewstoday.com/articles/280818
S007,Sleep,Average sleep duration,"In-flight, circadian-aligned nights",Long,180,mean_hours,6.4,,,hours/night,Actigraphy + circadian model,"Flynn-Evans et al. (21 ISS astronauts, 3248 nights)",https://www.nature.com/articles/npjmgrav201519
S008,Sleep,Average sleep duration,"In-flight, circadian-misaligned nights",Long,180,mean_hours,5.4,,,hours/night,Actigraphy + circadian model,"Flynn-Evans et al. (21 ISS astronauts, 3248 nights)",https://www.nature.com/articles/npjmgrav201519
S009,Sleep,Nights with less than 6 hours sleep,In-flight,Short,10,incidence_percent,47.1,,,% of nights,Actigraphy,"Barger et al. 2014 (Shuttle)",https://pmc.ncbi.nlm.nih.gov/articles/PMC10391686
S010,Sleep,Nights with less than 6 hours sleep,In-flight,Long,180,incidence_percent,43.8,,,% of nights,Actigraphy,"Barger et al. 2014 (ISS)",https://pmc.ncbi.nlm.nih.gov/articles/PMC10391686
